sample100	sample101	sample102	sample103	sample104	sample105	sample106	sample107	sample108	sample109	sample110	sample111	sample112	sample116	sample117	sample118	sample119	sample120	sample122	sample123	sample124	sample125	sample126	sample127	sample128	sample129	sample131	sample41	sample44	sample45	sample48	sample49	sample51	sample52	sample53	sample54	sample62	sample64	sample66	sample68	sample71	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample82	sample83	sample86	sample87	sample88	sample90	sample91	sample93	sample95	sample96	sample97
ENSG00000238375	0.257920922	0.218967295	0.000593382	-0.025515316	0.962384972	0.022129857	0.044053685	0.933285174	0.243062756	-0.009756375	1.035554961	0.064138937	0.275016624	-0.018159485	0.009384379	-0.017670722	0.010806484	-0.003011093	-0.00845398	-0.000765068	0.218119226	0.230292285	0.38224209	1.374222145	0.025652181	0.007756187	0.701455899	0.253303573	0.415182912	-0.031252032	-0.051469395	1.595771229	0.255286753	0.206538489	0.633828787	2.06156038	0.227229465	-0.030899441	0.268625118	0.749040381	0.277819699	0.035158197	0.23242264	0.090759499	0.011191634	-0.001760493	0.645675004	0.220685535	0.250969231	-0.019207657	0.627844309	-0.01724159	0.763540733	0.242080752	0.250466713	0.00270399	0.439756192	0.256263538	0.003658653	0.270762157
ENSG00000156030	9.118836895	9.80227398	10.09981227	9.275595831	10.33456426	8.769620242	9.33903613	10.43044201	9.33036362	8.953236876	10.06305704	9.078197511	9.188730024	8.753747971	9.100917383	8.754144899	9.394784967	9.181166358	9.167770826	8.88900711	8.996982792	9.681930179	10.38165949	10.53166355	9.931514214	9.75156897	10.52647182	8.639564785	9.332356637	9.855485849	8.915133635	10.87747243	9.484911878	8.956191849	9.971928391	11.05488434	9.661667488	9.041318039	9.607800164	9.216481176	10.15765124	9.415143913	9.395711128	10.15554073	8.97568301	9.932688088	10.37609588	9.163604793	9.183256833	8.703930663	9.967652876	8.694491527	8.99854661	9.171743701	9.641941942	8.608772856	10.31288236	10.83229726	9.168830636	9.053784869
ENSG00000261026	2.759876909	2.966365288	2.887857684	1.917344057	4.529830554	1.506846313	1.557182397	3.475675598	1.661003088	2.111608586	2.730417047	2.036155541	1.506705677	1.940918302	1.866319287	1.611868896	3.162519611	1.8292795	1.972267872	1.45489252	2.091438343	2.370939645	3.170099705	3.539386673	3.372137627	2.544263916	3.55011012	1.67894299	2.432449108	1.899061801	1.341337419	3.999766302	2.178179943	1.769532678	1.83036507	3.91925254	1.633316942	1.900182978	2.471824515	2.070993083	2.911985211	1.752464825	1.642391559	2.646099033	1.481956247	2.272089539	2.625677628	1.797253766	1.856922853	1.413396273	2.259247331	1.787251228	1.790986495	1.659284247	2.536613701	1.462730353	3.617984275	2.754968347	1.66797068	1.500347817
ENSG00000097046	6.145342449	5.154251624	5.489111695	5.04456547	4.623495432	5.271051756	5.129203411	5.518355655	5.36489921	4.675633828	5.564311891	4.737221532	4.77380577	4.864815987	4.481898879	5.418725815	4.710720315	4.712431916	5.393967253	5.161298564	5.101363295	5.173374603	5.307301174	5.567241019	5.815309574	4.520675889	5.684788307	4.263181473	4.622976132	5.108433036	4.653697824	5.95962756	5.391052062	5.326674602	5.489337648	5.503158235	5.030012982	5.241633402	5.27212815	4.412542662	4.901346808	4.967246838	4.075919833	5.006920365	5.062322162	4.374458704	4.344822627	5.636411162	4.558233736	4.424156266	5.349768368	4.295584265	4.965121703	4.937930845	6.063280543	4.885980176	5.317772232	5.815010875	5.187278441	4.946689328
ENSG00000160188	2.182152016	2.294489532	1.74824495	1.81122761	2.15101552	1.963053158	2.036607082	1.389309858	2.146080209	1.560467326	1.82443446	1.55295	1.455208835	2.282132273	1.21977748	2.4606207	1.222347964	1.737759238	2.220084794	1.744287646	2.193396203	1.72492294	2.115428303	2.181848794	1.653159437	1.422941691	1.463387754	1.916325663	1.690268747	1.917543737	1.732111158	2.208034525	2.054031817	1.679585826	2.242130732	1.992473532	1.561172195	2.233059388	1.7992042	1.684778676	1.968904349	1.266755434	1.392263589	2.631083998	1.223044546	1.741392079	2.030762682	2.556488859	1.214126786	1.957527108	1.731429664	1.836924665	2.084827946	1.4064711	2.275005499	2.546287827	2.326303554	1.611055459	1.209452278	1.636193369
ENSG00000223999	2.189941298	1.875946006	1.51965377	1.447661368	1.676005333	1.207839171	1.020832877	1.497487658	1.163721696	1.326228033	2.447482	1.298194651	0.984483244	1.467740741	1.373294925	1.30701797	0.966010512	0.943466633	0.934620314	1.666290264	0.923112351	1.146214002	2.183056289	1.462974429	1.749301669	0.96102276	2.140903971	1.177789864	2.071217402	1.274361548	1.056777025	1.99309059	1.696934503	1.45372098	2.136542712	2.716455721	1.639547047	1.433057388	1.724542122	1.603257886	1.409632909	1.006077201	1.149131984	1.789187814	1.377786686	1.513077001	1.355964407	1.479604194	1.535544025	1.303303288	1.787541437	1.126097795	1.311134053	0.948980846	1.824721249	1.167202619	2.796643159	1.698948767	1.528245767	1.397997436
ENSG00000243287	-1.910794768	-1.917368399	-1.913406983	-1.920037135	-1.665183562	-1.907910701	-1.902300574	-1.915432656	-1.4524489	-1.467163651	-1.906847893	-1.611383471	-1.907926457	-1.682528156	-1.91116582	-1.477853661	-1.910802938	-1.914324783	-1.915709325	-1.913752963	-1.917511961	-1.915452829	-1.922857199	-1.902115774	-1.907010132	-1.911581182	-1.907007074	-1.911571463	-1.683676934	-1.921487611	-1.710093293	-1.909020835	-1.911237771	-1.919473719	-1.914231799	-1.905643311	-1.915970591	-1.921398536	-1.908997382	-1.919010457	-1.646714417	-1.904578049	-1.91509284	-1.89034446	-1.657656904	-1.668699824	-1.912952013	-1.917077579	-1.911964423	-1.918439443	-1.914880414	-1.298484057	-1.91761831	-1.666885777	-1.912049041	-1.912869248	-1.673033919	-1.911073469	-1.912625949	-1.908639112
ENSG00000261285	-1.721818151	-1.72985925	-1.725007471	-1.733138319	-1.724451988	-1.718305992	-1.711500787	-1.727486125	-1.72487275	-1.479244157	-1.717014096	-1.412059116	-1.718325153	-1.730847787	-1.462098002	-1.486281914	-1.721828114	-1.726129914	-1.727825036	-1.72543048	-1.484399987	-1.260073399	-1.736612698	-0.613512551	-1.717211224	-1.463563446	-1.717207508	-1.722765616	-1.731274902	-1.734924123	-1.515996629	-1.454515881	-1.722358471	-1.732445338	-1.726016153	-1.715551395	-1.728145162	-1.734814381	-1.719628222	-1.73187583	-1.717754789	-1.714259212	-1.727069984	-1.697111035	-1.721708257	-1.725740459	-1.72445142	-1.269033019	-1.464914796	-1.731174212	-1.475173854	-1.730561927	-1.730165953	-1.725075209	-1.045260198	-1.724350293	-1.727334366	-1.72215805	-1.724053061	-1.719192146
ENSG00000175600	8.482725359	8.300682392	8.481426562	8.367396572	8.619639128	8.385765845	8.610792136	8.488915317	8.68338932	8.668126319	8.518470854	8.877790228	8.704692034	8.697589853	8.495242416	8.546922995	8.348760072	8.684662808	8.727792005	8.681836831	8.376931873	8.619062872	8.177893009	8.479783899	8.75897063	8.443805048	8.41986674	8.800401488	8.818756887	8.403218606	8.530052329	8.204888961	8.426488437	8.386739815	8.484386845	7.972532479	8.575482245	8.494545474	8.297942144	8.739252297	8.532582481	9.053592241	8.768208335	8.056163397	8.70066572	8.70245047	8.353780665	8.505896306	8.625796035	8.738710439	8.505464889	8.710025281	8.829468974	8.596053258	8.725103039	8.699236737	8.240846643	8.656602578	8.592633714	8.565797129
ENSG00000250659	4.700218927	4.374697422	4.79749309	4.35478788	4.89325809	4.049947691	4.104818187	5.247741695	3.879953029	3.943050972	5.439215619	3.738880803	3.922478134	2.844145363	2.943510214	3.357960748	4.478975557	3.919964467	3.832655581	4.242840791	3.91378039	3.564658439	5.26543674	5.15531841	5.006256129	4.334640108	4.886441146	3.555960407	3.716165343	4.461857402	3.436693475	5.117479179	4.095813481	3.41533697	4.442856481	5.010437729	4.196073871	3.122316981	4.247958678	3.254102645	4.512556118	4.056767678	4.635716064	4.442262794	3.652160157	3.983859927	4.348701964	4.126719499	4.326353266	3.43345036	4.792611215	4.436382074	4.36931098	4.337676508	4.023557315	3.447804267	5.106669253	4.389564414	3.691471889	4.093835295
ENSG00000198300	8.198724426	8.800075642	8.155392441	8.534691002	8.97561312	8.432751016	8.585570505	8.668085858	8.384489173	8.734032903	8.936536215	9.160114218	9.134318338	9.132433157	8.920591194	8.58587549	8.274403825	9.186091325	9.347746917	8.695184565	9.103030132	8.324990199	7.794066814	8.150985772	8.188603378	8.089487114	8.419055316	8.830634291	8.947159973	8.139938423	9.418749127	8.01938635	8.839173756	8.260496314	8.95295176	8.364636019	9.127517096	9.057379219	8.102370895	9.274087731	8.822995909	8.774703555	8.225805977	7.912336171	8.769936735	8.691325757	8.270598646	8.587096777	8.656890981	9.0348872	8.760783322	8.839403461	8.946015881	8.8262767	9.091718496	8.827697854	8.424138871	8.868984948	8.955465055	8.858082514
ENSG00000254848	-1.896227752	-1.659437569	-1.646082027	-1.906054809	-1.898516557	-1.893173552	-1.887249029	-1.901151474	-1.89888207	-1.901797762	-1.892049509	-1.881835321	-1.893190221	-1.904068575	-1.896621116	-1.903936541	-1.896236413	-1.899973942	-1.901445674	-1.89936651	-1.903363865	-1.652989234	-1.677823657	-1.364221711	-1.008983531	-1.897061567	-1.892217811	-1.89705126	-1.904439033	-1.907602572	-1.913045504	-1.631195617	-1.896697404	-1.905454011	-1.899875152	-1.619652043	-1.901723545	-1.907507479	-1.631115713	-1.904960183	-1.892694004	-1.889651511	-1.900790199	-1.874694822	-1.896132224	-1.899635727	-1.898516064	-1.658459723	-1.897468065	-1.904351704	-1.9005644	-1.903820611	-1.449568542	-1.899057931	-1.897557832	-1.89842821	-1.43713044	-1.638176038	-1.898169979	-1.893944384
ENSG00000105607	8.830542651	8.986968227	8.890610119	9.303591298	9.418268961	8.411278834	9.0260026	9.207423113	8.979896456	8.70745386	9.037858938	9.497322078	8.955546547	8.882975694	8.995717646	9.125115808	9.334385372	8.826575289	8.474040223	9.320055959	8.549150037	9.459996325	8.525416222	8.069456579	8.888835517	8.672258286	9.372006535	8.902610134	8.680922364	9.237126534	8.778493345	8.62009431	9.173742702	9.187474022	8.58399223	8.770575458	8.63240382	8.904321935	8.898687883	9.628285206	9.292501625	9.483043841	9.187936545	9.080344188	9.36276334	9.230537086	9.377116581	8.083555371	9.417561081	9.365363202	8.478711751	9.590772947	8.761349954	8.675318445	8.354993142	8.684588413	8.407950908	8.810879338	9.213339022	8.604264432
ENSG00000150764	8.811213052	9.033213796	9.054372439	8.492823466	9.071646107	8.455459493	8.387933528	9.292876969	8.435564305	9.013236027	8.796759836	8.645994498	8.318961461	8.69467946	9.071971778	8.49857548	8.692319139	8.306765078	7.958811175	8.604498861	8.762544773	8.429489733	9.060572133	9.255062114	8.795254591	8.773876575	9.262343615	8.298190036	8.848019342	8.518582272	8.606223982	9.034478173	8.5214956	8.584775561	8.813453141	9.246569026	8.502256253	8.766845916	8.222033444	9.21172878	8.532881153	8.597059359	8.216145176	8.474709553	8.503267263	8.533524036	8.670160814	8.99250413	8.793595561	8.792984121	9.037178258	8.670301361	8.659319358	8.800761089	8.98319185	8.306802956	9.371055039	8.940484343	8.483749606	8.602693088
ENSG00000269449	2.226227343	2.001491753	1.895289999	1.820997177	2.650064777	1.95813633	2.344802132	1.702152529	2.544746689	2.395821831	2.536334098	3.581946373	1.957954172	3.029496525	1.744823745	2.365941217	2.356099828	3.165732704	2.506832645	2.313540815	1.999727586	2.163392023	1.628832824	2.485653667	2.411807142	2.571992431	1.968605214	2.853824037	2.812432863	1.951171466	2.34055286	1.945331529	1.919934733	2.110091883	1.714114136	1.594668835	1.696805155	2.084829905	2.613522789	2.877928663	2.125664671	2.686134696	2.168203257	1.963665921	3.357335935	2.725051958	2.442273123	2.582921599	2.846908223	2.123729762	1.707649066	3.554940803	3.220696497	2.049828793	2.455987323	2.912312074	2.165316868	1.745752888	2.447218016	2.50838591
ENSG00000189077	8.171390546	8.347688357	8.265038356	8.382693533	8.507319637	8.275933714	8.453778214	8.421996787	8.32171001	8.269726735	8.363938647	8.477801524	8.50090652	8.267672651	8.541490079	8.180932879	8.423680097	8.47825614	8.204480389	8.51222603	8.210656632	8.261402083	8.150607941	7.692237892	8.505392127	8.507711961	8.271608676	8.171619083	8.336661186	8.205073117	7.955978328	8.030785326	8.431624493	8.142907993	8.202412918	8.431751969	8.391181818	8.198135995	8.397221869	8.694523785	8.631885462	8.448966184	8.45330627	8.389709025	8.397045645	8.601408099	8.518602458	8.070346116	8.413166948	8.321242775	8.153807337	8.527482903	8.217874522	8.15150956	8.246032008	7.985544683	8.186446675	8.31325003	8.691516587	8.426740442
ENSG00000204915	-2.091805439	-2.098249243	-2.094358993	-2.100882177	-2.093914026	-2.088996923	-2.083566052	-2.096345591	-2.094251067	-2.096942673	-1.812286617	-2.078623318	-2.089012235	-2.099042681	-2.092167592	-2.09892049	-2.091813411	-2.095258393	-2.096617359	-2.094697902	-2.09839063	-1.425497723	-2.103675083	-0.965194058	-1.812824962	-2.092573214	-2.088119291	-2.09256372	-1.850772383	-2.102317311	-2.107376061	-1.819487639	-2.092237839	-2.100325503	-2.095167221	-2.086796854	-2.096874093	-2.102229095	-1.819410021	-2.099868113	-2.088556493	-2.085765625	-2.096011938	-2.072133428	-2.091717504	-2.094946287	-2.093913571	-1.846035657	-2.092947677	-2.099304741	-2.095803445	-2.098813211	-2.098495386	-2.09441326	-1.829491806	-2.093832574	-1.618332093	-2.092077438	-2.093594523	-2.089705186
ENSG00000266561	-3.487489747	-3.250342556	-3.488367331	-3.490593619	-3.48821465	-3.486520699	-3.484635733	-3.489047725	-3.488330308	-3.489251815	-3.486163583	-3.482907909	-3.486525993	-3.48996812	-3.487614413	-3.489926506	-3.487492492	-3.488675624	-3.489140642	-3.48848355	-3.48974596	-3.4890545	-3.491539786	-3.207920274	-3.486218097	-3.487753962	-3.486217069	-3.487750697	-3.253487514	-3.491080342	-3.275255011	-3.227326095	-3.487638586	-3.490404522	-3.488644392	-3.485758832	-3.489228383	-3.491050456	-3.486885834	-3.490249025	-3.486368374	-3.485400904	-3.488933596	-3.480622314	-3.487459467	-3.488568689	-3.488214494	-3.48960011	-3.487882717	-3.490057342	-3.243529141	-3.489889964	-3.489781667	-3.488385944	-3.487911145	-3.488186691	-3.489006109	-3.487583385	-3.488104957	-3.486765453
ENSG00000106366	11.403086	13.16380809	13.54563423	12.46283981	12.82962385	11.29095716	10.14077603	12.92210117	10.12671599	12.01778879	13.18470175	11.5594245	9.655740783	10.80480222	10.69573421	9.179916651	11.64807398	9.128525906	9.785588811	10.80796178	10.15695673	10.49627371	13.58090627	14.04269404	13.18332785	11.68589931	13.924225	9.058019312	12.64193564	11.66864814	9.908973177	13.62973282	11.56610426	10.26302319	13.16160015	13.6324901	10.7632734	10.88933003	13.82123936	10.64666883	12.21162534	12.73295181	11.60671557	12.47812637	10.47509375	12.95621338	12.39462284	11.76242519	10.75609524	10.99585405	12.16601296	10.9276579	11.19448507	11.91690475	11.83947971	8.691949023	13.18667173	12.85425925	11.61164443	10.18851124
ENSG00000244342	-0.07528805	0.499468473	0.149625962	-0.106853469	0.152115121	-0.065426504	-0.046203985	0.138558518	0.35486459	0.334964373	0.593134221	-0.028509113	-0.065480406	0.319601635	0.717425246	0.124318763	0.373107594	-0.087347164	-0.092075135	-0.085394289	0.498217818	0.138448511	0.098305816	1.112922899	-0.06234479	0.713146745	0.184904214	-0.077942199	0.317105952	0.295906702	0.420372635	-0.069223668	-0.076801966	0.310282862	0.348063459	1.066436857	-0.092967257	0.296541115	0.173877299	0.313599942	-0.063875376	-0.054015195	-0.089970019	-0.004936561	-0.074980036	-0.086259926	-0.082658594	0.129601039	-0.079284826	0.122203399	-0.08924462	0.787148674	0.497291759	0.353658408	0.546293641	0.152571187	-0.090707281	0.162430512	-0.081544785	0.175858261
